EDP;DIRECCION;CADENA
101;21 DE MAYO #225, ARICA;507
102;21 DE MAYO #447, ARICA;507
104;21 DE MAYO #417, ARICA;507
105;LOS POMELOS #3059, ALTO HOSPICIO;507
106;TARAPACA  #625, IQUIQUE;507
108;MALL PLAZA IQUIQUE;507
110;VIVAR  #711,  IQUIQUE;507
112;21 DE MAYO #1406,  TOCOPILLA;507
116;MALL PLAZA ARICA;507
123;BALMACEDA #3242, CALAMA;507
124;PRAT #529,  ANTOFAGASTA;507
125;PASEO RAMIREZ #2088, CALAMA;507
126;BALMACEDA #2355, ANTOFAGASTA;507
127;ARTURO PRAT #681, TALTAL;507
138;CHACABUCO #326, COPIAPO;507
139;AVENIDA MAIPU #110, COPIAPO ;507
142;PRAT #1046, VALLENAR;507
144;VARELA #1524, COQUIMBO                                    ;507
145;PRAT #675, LA SERENA;507
146;AVANGAMOS #2170, ANTOFAGASTA;507
148;ALBERTO SOLARI #1400, LA SERENA;507
151;ALDUNATE #1541, COQUIMBO;507
152;ARTURO PRAT #180, VICUÑA;507
153;ALDUNATE #1371, COQUIMBO;507
154;CAMINO A SOTAQUI S/N  LOCAL 1340, OVALLE;507
156;VICUÑA MACKENNA#69, OVALLE;507
157;CONSTITUCION #424, ILLAPEL;507
158;MANUEL BULNES #488, SALAMANCA;507
170;LATORRE #1947, CALAMA;507
172;PRAT  #697,  ANTOFAGASTA;507
175;MERINO JARPA #555, CHANARAL;507
209;AVDA GRAL SAN MARTIN #068, COLINA;507
210;MAIPU #242 ,LOS ANDES;507
211;AVDA SANTA  TERESA  #683 ,  LOS ANDES;507
214;COIMAS #236,  SAN FELIPE;507
217;ORTIZ DE ROZAS #434,  LA LIGUA;507
218;CARRERA  #602,  LA CALERA;507
219;JOSE JOAQUIN PEREZ #12010  LA CALERA;507
224;CHACABUCO #236,  QUILLOTA;507
225;URMENETA  #72,  LIMACHE;507
226;CONSTITUCION #211,  CASABLANCA;507
227;ANDRES BELLO #696,  QUILPUE;507
229;LA TORRE #32,  VILLA ALEMANA;507
230;AVDA RAMON FREIRE #2414,  EL BELLOTO QUILPUE;507
232;CAMINO INTERNACIONAL #2440, VIÑA DEL MAR;507
233;AVDA CONDELL  #1379, VALPARAISO;507
235;PEDRO MONTT    #2090, VALPARAISO;507
237;AVDA VALPARAISO    #317, VIÑA DEL MAR;507
238;AVDA VALPARAISO   #485, VINA DEL MAR;507
243;AVDA BENIDORM  #961,  VIÑA DEL MAR;507
244;AVDA VALPARAISO  #1070, VIÑA DEL MAR;507
245;AVDA LIBERTAD   #1348,   VIÑA DEL MAR;507
249;ORTUZAR  #514, MELIPILLA;507
250;SERRANO #395, MELIPILLA;507
253;BDO O´HIGGINS #1044, TALAGANTE;507
254;21 DE  MAYO  #4525, PEÑAFLOR;507
255;AVDA 21 DE MAYO #4333,  PEÑAFLOR;507
257;CAMINO A MELIPILLA  #9460, MAIPU  SANTIAGO;507
258;AVDA PAJARITOS #2689,  MAIPU SANTIAGO;507
259;RAMON BARROS LUCO #105,  SAN ANTONIO;507
275;AVENIDA CENTENARIO #168,  SAN ANTONIO;507
278;AV CARLOS CONDELL #1687, QUILLOTA;507
292;AV GRECIA #1120,  CALAMA;507
301;ESTADO #223, SANTIAGO;507
302;VICUÑA MACKENNA #7110,  LA FLORIDA SANTIAGO;507
304;PUENTE #630,  SANTIAGO;507
305;AVDA VICUÑA MACKENNA  #6100,  LA FLORIDA SANTIAGO;507
306;AVDA KENNEDY #5601,  LAS CONDES;507
307;AVENIDA INDEPENDENCIA #565,  SANTIAGO;507
308;IRARRAZAVAL #3078, ÑUÑOA SANTIAGO;507
309;AVDA JOSE PEDRO ALESSANDRI #1166, ÑUÑOA SANTIAGO;507
310;AVENIDA KENNEDY #9001,  LAS CONDES SANTIAGO;507
311;AVDA AMERICO VESPUCIO #1737, HUECHURABA;507
314;AVDA BERNARDO O´HIGGINS   #314, SANTIAGO ;507
317;AVENIDA BERNARDO O´HIGGINS   #3023, SANTIAGO;507
319;CAMILO HENRIQUEZ   #3296, LOCAL 141, PUENTE ALTO;507
320;EYZAGUIRRE #680,  SAN  BERNARDO SANTIAGO ;507
324;AMERICO VESPUCIO #399, MAIPU;507
328;AVCONCHA Y TORO #1012, PUENTE ALTO SANTIAGO ;507
329;AVENIDA AMERICO VESPUCIO #399 MAIPU;507
335;AVDA MAR  TIRRENO  #4003,  PEÑALOLEN;507
337;MANQUEHUE SUR #31,  LAS CONDES;507
340;AHUMADA #343, SANTIAGO ;507
341;AMERICO VESPUCIO   #1501, MAIPU;507
343;AMERICO VESPUCIO   #1501, MAIPU;507
346;AVDA LO ESPEJO  #943,   MAIPU;507
348;AVDA LARRAIN  #5262, LA REINA;507
349;AVENIDA  BERNARDO O´HIGGINS #581,  QUILICURA SANTIAGO;507
350;AVDA  BALMACEDA #112,  BUIN;507
351;AVDA BORJA #122, ESTACION CENTRAL;507
352;AV JOSE MIGUEL CARRERA #6150,   SAN MIGUEL;507
353;AVDA CONCHA Y TORO #1149, PTE ALTO;507
354;EYZAGUIRRE   #650, SAN BERNARDO;507
355;AVDA BERNARDO O´HIGGINS #3470,  ESTACION CENTRAL;507
356;AVDA JORGE  ALESSANDRI #20030, SAN BERNARDO;507
358;AVDA AMERICO VESPUCIO  #75,  LA CISTERNA;507
359;GRAN AVENIDA JOSE MIGUEL CARRERA #10375,  LA CISTERNA;507
375;AVDA BERNARDO O´HIGGINS #3121, SANTIAGO ;507
376;AVDA ANDRES  BELLO   #2447, PROVIDENCIA;507
501;INDEPENDENCIA  #583, RANCAGUA;507
502;BRASIL  #999 RANCAGUA;507
503;ARTURO  PRAT    #111, RENGO;507
506;MANUEL  RODRIGUEZ   #955, SAN FERNANDO;507
507;EXEQUIEL GONZALEZ  #219, san Vicente de Taguatagua;507
508;CAMINO DEL COBRE #750, RANCAGUA;507
509;MANUEL  RODRIGUEZ   #920, SAN FERNANDO;507
511;AVENIDA BERNARDO O’HIGGINS #701,   SAN FERNANDO;507
513;PEÑA  #755, CURICO;507
515;BERNARDO  O´HIGGINS #201, CURICO;507
519;UNO SUR   #1554,  TALCA;507
524;ANIBAL LEON BUSTOS #280,  LINARES;507
527;ANIBAL PINTO #500,   PARRAL;507
541;EL ROBLE  #681,  CHILLAN;507
544;MANUEL MONTT #1080,  TOME;507
545;RIO CLARO #198,  CABRERO;507
552;BARROS ARANA  #857, CONCEPCION;507
553;JORGE ALESSANDRI #3177,  CONCEPCION;507
554;Autopista Concepcion - Talcahuano #8950, Concepcion Talcahuano Bio Bio;507
555;BARROS  ARANA #1068,  CONCEPCION;507
556;COLON #306,  TALCAHUANO;507
558;Avenida los Carrera Poniente #301, Concepcion;507
559;AVENIDA CARLOS PRAT #0901,  CORONEL;507
