Id;Address;Latitude;Longitude
1;MALL PLAZA IQUIQUE;;
2;MALL PLAZA IQUIQUE;;
3;MALL PLAZA ANTOFAGASTA;;
4;MALL PLAZA CALAMA;;
5;MALL PLAZA CALAMA;;
6;MALL PLAZA COPIAPO;;
7;RIPLEY MALL PLAZA COPIAPO;;
8;MALL PLAZA LA SERENA;;
9;MALL PLAZA LOS ANGELES;;
10;RIPLEY MALL PLAZA LOS ANGELES;;
11;MALL PLAZA EL TREBOL;;
12;MALL PLAZA ALAMEDA;;
13;MALL PLAZA NORTE;;
14;MALL PLAZA NORTE;;
15;MALL PLAZA VESPUCIO;;
16;MALL PLAZA VESPUCIO;;
17;MALL PLAZA LOS DOMINICOS;;
18;MALL PLAZA LOS DOMINICOS;;
19;MALL PLAZA OESTE;;
20;MALL PLAZA TOBALABA;;
21;MALL PLAZA SUR;;
22;MALL PLAZA EGAÑA SANTIAGO;;
23;MALL PLAZA DE LOS RIOS;;
24;MALL PLAZA LOS RIOS;;
25;MALL PLAZA ARICA;;
26;MALL PLAZA ARICA;;
